Model,CV_AUROC_mean,CV_AUROC_std,CV_F1_mean,CV_F1_std,CV_Precision_mean,CV_Recall_mean,CV_PR_AUC_mean,Test_AUROC,Test_PR_AUC,Test_F1,Test_Precision,Test_Recall,Test_G_Mean
XGBoost + SMOTE (Tuned) — Correct CV,0.9823,0.0089,0.8147,0.0219,0.8021,0.8325,0.85,0.9808,0.8766,0.8235,0.7925,0.8571,0.9256
LightGBM + SMOTE (Tuned) — Correct CV,0.979,0.0088,0.8333,0.0137,0.8451,0.8249,0.8455,0.977,0.8802,0.85,0.8333,0.8673,0.9312
